UC-Irvine,Milwaukee,-17,5.11,-5.36,
Cal State Fullerton,Alabama State,-9,1.96,-7.64,
East Carolina,Air Force,7,-1.63,-0.22,
Air Force,East Carolina,-7,-0.22,-1.63,
Akron,Mercer,2,7.70,2.75,
Alabama State,Cal State Fullerton,9,-7.64,1.96,
Mercer,Akron,-2,2.75,7.70,
Cal State Bakersfield,North Florida,23,9.19,-1.13,
Weber State,Buffalo,-2,7.92,4.15,
North Florida,Cal State Bakersfield,-23,-1.13,9.19,
Oakland,UC-Davis,13,7.96,1.59,
UC-Davis,Oakland,-13,1.59,7.96,
Buffalo,Weber State,2,4.15,7.92,
Grambling,Savannah State,6,-3.70,-8.24,
Savannah State,Grambling,-6,-8.24,-3.70,
Maryland,Kansas State,1,8.73,6.70,
Kansas State,Maryland,-1,6.70,8.73,
Cal Poly,Elon,-6,-6.00,3.28,
Elon,Cal Poly,6,3.28,-6.00,
North Carolina-Wilmington,Evansville,3,10.52,1.76,
Evansville,North Carolina-Wilmington,-3,1.76,10.52,
Cal State Northridge,Portland,-18,-2.32,-5.93,
Portland,Cal State Northridge,18,-5.93,-2.32,
Indiana State,Quinnipiac,-3,-2.81,-5.04,
Alabama-Birmingham,Saint Mary's (CA),-13,2.59,15.44,
Saint Mary's (CA),Alabama-Birmingham,13,15.44,2.59,
Sacramento State,Denver,-11,-4.08,3.08,
Quinnipiac,Indiana State,3,-5.04,-2.81,
Denver,Sacramento State,11,3.08,-4.08,
Virginia Tech,Nebraska,13,5.19,-0.15,
North Carolina-Wilmington,Toledo,25,10.52,3.19,
Nebraska,Virginia Tech,-13,-0.15,5.19,
Toledo,North Carolina-Wilmington,-25,3.19,10.52,
Cal State Bakersfield,North Dakota,-2,9.19,7.96,
North Dakota,Cal State Bakersfield,2,7.96,9.19,
UCLA,Texas A&M,7,16.56,3.69,
Stanford,Seton Hall,14,-0.62,2.96,
Seton Hall,Stanford,-14,2.96,-0.62,
Texas A&M,UCLA,-7,3.69,16.56,
Milwaukee,South Dakota State,-23,-5.36,-1.10,
South Dakota State,Milwaukee,23,-1.10,-5.36,
Middle Tennessee,Evansville,11,10.93,1.76,
Dayton,New Mexico,7,11.27,1.96,
New Mexico,Dayton,-7,1.96,11.27,
East Tennessee State,UC-Irvine,6,11.29,5.11,
UC-Irvine,East Tennessee State,-6,5.11,11.29,
Evansville,Middle Tennessee,-11,1.76,10.93,
Miami (FL),Florida,-9,7.88,13.67,
Florida,Miami (FL),9,13.67,7.88,
Iowa State,Gonzaga,-2,10.00,23.71,
Gonzaga,Iowa State,2,23.71,10.00,
Kentucky,Arizona State,46,15.59,-2.32,
Arizona State,Kentucky,-46,-2.32,15.59,
Brigham Young,Utah State,14,7.93,1.74,
Utah State,Brigham Young,-14,1.74,7.93,
Campbell,South Carolina Upstate,-7,0.50,2.33,
Duquesne,Pittsburgh,9,-3.35,0.22,
Pittsburgh,Duquesne,-9,0.22,-3.35,
South Carolina Upstate,Campbell,7,2.33,0.50,
Vanderbilt,Minnesota,-4,1.81,6.88,
Wofford,Miami (FL),-17,3.34,7.88,
Miami (FL),Wofford,17,7.88,3.34,
Minnesota,Vanderbilt,4,6.88,1.81,
Illinois,Virginia Commonwealth,18,1.81,9.56,
Virginia Commonwealth,Illinois,-18,9.56,1.81,
Southern California,Brigham Young,7,5.70,7.93,
Brigham Young,Southern California,-7,7.93,5.70,
Bethune-Cookman,Cleveland State,-11,-7.50,-4.64,
Cleveland State,Bethune-Cookman,11,-4.64,-7.50,
Campbell,Colgate,2,0.50,-3.96,
Colgate,Campbell,-2,-3.96,0.50,
Arizona,Gonzaga,-7,11.39,23.71,
Gonzaga,Arizona,7,23.71,11.39,
South Carolina Upstate,Colgate,6,2.33,-3.96,
Colgate,South Carolina Upstate,-6,-3.96,2.33,
Florida State,George Washington,19,12.19,-1.12,
George Washington,Florida State,-19,-1.12,12.19,
Syracuse,Connecticut,-2,6.26,2.28,
Connecticut,Syracuse,2,2.28,6.26,
University of California,Princeton,11,6.92,9.26,
Princeton,University of California,-11,9.26,6.92,
Duquesne,Robert Morris,-4,-3.35,-3.90,
Robert Morris,Duquesne,4,-3.90,-3.35,
La Salle,Villanova,-10,0.20,14.82,
Villanova,La Salle,10,14.82,0.20,
Seton Hall,Hawaii,11,2.96,0.65,
Hawaii,Seton Hall,-11,0.65,2.96,
Duke,Florida,10,13.41,13.67,
Florida,Duke,-10,13.67,13.41,
Arizona State,Purdue,-33,-2.32,15.26,
Purdue,Arizona State,33,15.26,-2.32,
University of California,Seton Hall,-3,6.92,2.96,
Seton Hall,University of California,3,2.96,6.92,
Hawaii,Princeton,-13,0.65,9.26,
Princeton,Hawaii,13,9.26,0.65,
Western Carolina,West Virginia,-53,-13.39,18.85,
West Virginia,Western Carolina,53,18.85,-13.39,
Cleveland State,Western Michigan,23,-4.64,-1.69,
Western Michigan,Cleveland State,-23,-1.69,-4.64,
Pacific,Rider,-7,-4.69,-1.11,
Rider,Pacific,7,-1.11,-4.69,
Villanova,Notre Dame,8,14.82,9.82,
Notre Dame,Villanova,-8,9.82,14.82,
Wichita State,Oklahoma,3,19.34,-1.42,
Oklahoma,Wichita State,-3,-1.42,19.34,
Penn State,Pittsburgh,-8,0.41,0.22,
Pittsburgh,Penn State,8,0.22,0.41,
DePaul,Temple,-9,-5.04,-0.59,
Temple,DePaul,9,-0.59,-5.04,
Kansas State,Washington State,14,6.70,-6.04,
Washington State,Kansas State,-14,-6.04,6.70,
Georgetown,La Salle,15,4.42,0.20,
La Salle,Georgetown,-15,0.20,4.42,
Kentucky,Hofstra,23,15.59,0.17,
Hofstra,Kentucky,-23,0.17,15.59,
